HPC,Model,SRC,Dest,Theta,RPI,Threads,MinFem,MaxFem,Reps,Yrs,K,JobID,MostProbColonists,Lower50CI,Upper50CI
ODU,1,Atl,Carib,0.73,1,100,3,102,10000,15,1000000,8893868,76,54,93
ODU,1,Atl,Carib,1.46,1,100,3,102,10000,15,1000000,8893869,30,13,52
ODU,1,Atl,Carib,2.77,1,100,3,102,10000,15,1000000,8893870,17,9,34
ODU,2,Indo,Atl,10.654432,1,60,8,125,10000,15,1000000,8896593,22,20,32
ODU,2,Indo,Atl,20.2,1,40,8,85,10000,15,1000000,8893866,17,15,21
ODU,2,Indo,Atl,38.607091,1,40,8,85,10000,15,1000000,8896594,18,12,16
ODU,3,Mrq,Haw,149,4,40,142,2482,5000,30,1000000,8895752,2297,1743,2297
ODU,3,Mrq,Haw,149,7,40,142,2482,5000,30,1000000,8896328,1866,1312,1989
ODU,3,Mrq,Haw,149,10,40,142,2482,5000,30,1000000,8895753,1743,1066,1805
ODU,3,Mrq,Haw,376,4,40,142,1312,5000,30,1000000,8895756,604,573,696
ODU,3,Mrq,Haw,376,7,40,142,1312,5000,30,1000000,8895757,481,419,511
TAMUCC,3,Mrq,Haw,376,10,40,142,1312,5000,30,1000000,84191,450,419,481
ODU,3,Mrq,Haw,1062,4,40,142,766,5000,30,1000000,8894861,487,438,503
ODU,3,Mrq,Haw,1062,7,40,142,766,5000,30,1000000,8896583,372,323,372
ODU,3,Mrq,Haw,1062,10,40,142,766,5000,30,1000000,8894862,306,306,339
TAMUCC,4,Soc,Haw,20.092555,2,80,15,805,10000,30,1000000,,359,248,511
TAMUCC,4,Soc,Haw,20.092555,4,80,15,805,10000,30,1000000,84230,238,137,400
TAMUCC,4,Soc,Haw,20.092555,7,80,15,805,10000,30,1000000,84232,187,96,339
TAMUCC,4,Soc,Haw,20.092555,10,80,15,805,10000,30,1000000,84233,167,106,339
TAMUCC,4,Soc,Haw,35.225941,2,60,15,310,10000,30,1000000,,193,137,208
TAMUCC,4,Soc,Haw,35.225941,4,60,15,310,10000,30,1000000,84529,107,81,132
TAMUCC,4,Soc,Haw,35.225941,7,60,15,310,10000,30,1000000,84426,86,61,101
TAMUCC,4,Soc,Haw,35.225941,10,60,15,310,10000,30,1000000,84425,81,56,91
TAMUCC,4,Soc,Haw,62.439792,2,40,15,171,10000,30,1000000,,130,114,142
TAMUCC,4,Soc,Haw,62.439792,4,40,15,171,10000,30,1000000,84424,81,77,97
TAMUCC,4,Soc,Haw,62.439792,7,40,15,171,10000,30,1000000,84423,64,56,68
TAMUCC,4,Soc,Haw,62.439792,10,40,15,171,10000,30,1000000,84160,60,44,60
